"AMBIENT AIR QUALITY MONITORING DATA FOR THE YEAR 2019
(Manual monitoring under National Ambient Air Quality Monitoring Programme)",Column2,Column3,Column4,Column5,Column6,Column7
Arunachal Pradesh,Naharlagun,APSPCB Office compound,34,2,6,3
Assam,Bongaigaon,"Oil India Ltd. PS-6, Chirang",70,3,12,4
Assam,,Barpara Office Building,86,3,11,4
Assam,Daranga,"BATAD, Sandoop Jhankar town of Bhutan,
Baska",94,4,11,7
Assam,Dibrugarh,Dibrugarh Office Building,89,4,9,5
Assam,Golaghat,Golaghat Office Building,80,4,8,6
Assam,Guwahati,"Head Office, Bamunimaidam",134,7,24,12
Assam,,"Boragaon, IASST, Kamrup",114,5,12,7
Assam,,"Guwahati University, Kamrup",117,5,11,7
Assam,,"ITI Building, Gopinath Nagar",117,5,12,7
Assam,,"Khanapara, Central Dairy, Kamrup",129,5,15,7
Assam,,"Near Pragjyotish College, Santipur",133,5,11,7
Assam,Margherita,Coal India Office,91,4,9,6
Assam,Nagaon,"Water Resources Div., Christian Patty,
Nagaon College",97,5,10,7
Assam,Nalbari,"PWD Rural Div Office Complex, near Gordon
Boy's GS School",77,4,10,7
Assam,North Lakhimpur,"Bazar Patti, North Lakhimpur Town",86,5,10,7
Assam,Silchar,"Govt. Boys HS School, Janiganj",74,5,8,6
Assam,,"RLO, Ithkola Market, Ghaniwala Road",75,5,9,7
Assam,Sivasagar,Sibasagar Office Building,102,4,8,6
Assam,,"Usha Lodge, near ONGCL Colony",103,5,9,7
Assam,Tezpur,Tezpur Office Building,86,6,10,7
Assam,Tinsukia,"Digboi Carbon factory Campus, Borguri",94,4,8,6
Assam,,"Shreepuria, Borguri",98,4,8,6
Assam,,Shivdham,98,4,9,6
Bihar,Begusarai,Begusarai,104,9,19,12
Bihar,Darbhanga,"Smt Baby Kumari, Ashok Hotel,Kadirabad
Chowk",105,12,22,15
Bihar,Gaya,"Godam Road, Raja Market",104,6,15,11
Bihar,Muzaffarpur,"BSPCB Regional Office, Bela Industrial Area,
Bela",104,10,22,14
Bihar,Patna,"Beltron Bhawan, Shastri Nagar",59,2,7,2
Bihar,,"Gandhi Maidan, Auto Exhaust Test Centre",75,2,14,4
Bihar,Rajgir,"Sujkund, Near Samuraji hotel",104,5,15,10
Bihar,Sasaram,"Takia,Ward no.2, Rhotas",105,6,13,10
Chandigarh,Chandigarh,"Modern Foods, Industrial Area",149,2,2,2
Chandigarh,,Sector-17 C,142,2,2,2
Chandigarh,,"Punjab Engineering College, Sector- 12",163,2,2,2
Chandigarh,,"Sector-39, IMTECH",155,2,2,2
Chandigarh,,Kaimbwala Village,140,2,2,2
Chattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar",91,4,7,6
Chattisgarh,Durg-Bhillainagar,"Visak Hostel, Sector-4",77,5,8,7
Chattisgarh,,"R.O., 5/32 Banglow Office Building",83,3,8,4
Chattisgarh,,M.P. Laghu Udyog Nigam,84,7,11,9
Chattisgarh,,"CSIDC Industrial Growth Center, Borai, Durg",81,7,10,8
Chattisgarh,Korba,"HIG 21,22.Near Ghantaghar, MP Extension",97,6,11,8
Chattisgarh,,"Pragati Nagar NTPC Colony, Jamnipali",103,5,10,7
Chattisgarh,,"I.T.I., Rampur",100,6,13,9
Chattisgarh,Raipur,"New HIG-9, Hirapur/Housing Board Complex
Kabir Nagar",67,11,19,15
Chattisgarh,,M/S Wool Worth India Pvt. Ltd. Sarora,40,13,25,17
Dadra & Nagar Haveli and Daman & Diu,"Baldevi (Dadra &
Nagar Haveli)","Baldevi Village, Athola, Dandul Faliya,
Teh:Dadra & Nagar Haveli",97,8,25,16
Dadra & Nagar Haveli and Daman & Diu,Silvassa,"Khadoli Industrial Area, Khadoli",99,10,41,26
Dadra & Nagar Haveli and Daman & Diu,,"Chetan Guest House, Near Post Office,
Piperia, silvassa Char Rasta",100,11,41,25
Dadra & Nagar Haveli and Daman & Diu,Daman,"Prima Plastic, Kadaiya Industrial Area,
Kadaiya",97,9,39,23
Dadra & Nagar Haveli and Daman & Diu,,"Mashal Chawk, Nani Daman",99,8,37,21
Dadra & Nagar Haveli and Daman & Diu,Patlara (Daman),"Makat Faliya/ Ambavadi, Patlara Village,
Moti Daman Teh:Daman",100,8,25,15
Delhi,Delhi,"N.Y. School, Sarojini Nagar, Delhi",88,2,9,3
Delhi,,Janakpuri,120,4,16,5
Delhi,,"Naraina Industrial Area, Delhi",88,2,23,4
Delhi,,Nizamuddin,116,4,17,5
Delhi,,Pritampura,127,4,18,5
Delhi,,Shahadra,113,4,18,6
Delhi,,Shahzada Bagh,109,4,21,5
Delhi,,Siri Fort,113,4,16,5
Delhi,,"Town Hall, Ayurvedic Dispensary, Chandni
Chowk, Delhi",88,2,10,4
Goa,Amona,"Amona, Bicholim",105,9,12,11
Goa,Assanora,"Assanora Junction, Bardez",104,9,12,11
Goa,Bicholim,Bicholim,103,9,12,11
Goa,Codli,"Codli Tisk, Ponda, Sanguem",103,9,12,10
Goa,Cuncolim,Cuncolim,102,9,13,11
Goa,Honda,"Honda Junction, Sattari",104,9,12,11
Goa,Kundaim,Kundaim Industrial Estate,104,9,13,11
Goa,Mapusa,Mapusa town,90,2,7,3
Goa,Margao,Margao Town,102,9,13,11
Goa,Mormugao,"Fire Brigade Station, Port Trust",68,2,8,3
Goa,Panaji,"Old GSPCB premises, Patto",77,2,17,3
Goa,Ponda,Ponda Town,105,9,12,11
Goa,Sanguem,"Near Railway Station at Kalem, Sanguem",103,9,12,11
Goa,Tilamol,"Quepem, Tilamol",102,10,13,11
Goa,Tuem,Tuem Industrial Estate,104,9,13,11
Goa,Usgao,"Usgao Plae, Junction, Ponda",96,9,12,11
Goa,Vasco,"Fuse Call Office, Mormugao",88,2,11,3
Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",87,14,33,19
Gujarat,,Cadilla Bridge Narol,86,12,37,20
Gujarat,,"Bhagavathi Estate, Keval Kanta Road,
Rakhiyal",88,12,35,20
Gujarat,,"Reliable Products, 61/62 Ilaben estate,PiranaDump Site,Narol (previous
Dyno Wash)",87,11,39,22
Gujarat,,L.D. Engg. College,88,14,33,20
Gujarat,,"Shardaben Hospital, Saraspur",86,13,34,20
Gujarat,,"R.C. Technical High School, Mirzapur",86,13,35,20
Gujarat,,"AZL Behrampura, Ahmadabad",87,13,38,20
Gujarat,,Sola L.T. Chanakyapuri Pumping Station,88,11,35,21
Gujarat,Anklesvar,Rallis India Ltd.,88,13,36,20
Gujarat,,"Durga Traders, Bhavanafarm Society",88,12,35,19
Gujarat,Jamnagar,Fisheries Office,87,11,39,19
Gujarat,Rajkot,Nr. Sardhara Industrial Corporation,87,13,36,21
Gujarat,,GPCB Regional Offce,87,12,40,19
Gujarat,Surat,S.V.R. Engg. College,87,12,45,23
Gujarat,,"B.R.C. High School, Udhna",83,12,46,26
Gujarat,,Near Air India Office,88,9,41,22
Gujarat,Vadodara,"GPCB Office, Geri Vasahat",87,11,37,19
Gujarat,,"Sterling Gelatin Guest House, Vill-Karakhadi
Padia",87,11,43,20
Gujarat,,Dandia Bazaar,88,12,41,20
