"AMBIENT AIR QUALITY MONITORING DATA FOR THE YEAR 2019
(Manual monitoring under National Ambient Air Quality Monitoring Programme)",Column2,Column3,Column4,Column5,Column6,Column7
Meghalaya,Nongstoin,"Office Premises of E.E, PHED",121,2,8,2
Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad",106,2,3,2
Meghalaya,,State Tuberculosis Hospital,121,2,9,6
Meghalaya,,"Forest Rest House, Polo Hills",117,2,6,3
Meghalaya,,"41/2 mile, Mylliem Range Office",119,2,6,2
Meghalaya,Tura,"PHED, Araimille, West Garo Hills District",116,2,4,3
Meghalaya,"Umiam /
Umsning","Umiam Industrial Complex, Ri-Bhoi District",120,2,6,3
Mizoram,Aizawl,"Khatla, M.G-Road, Mizoram SPCB",103,2,2,2
Mizoram,,Laipuitlang,106,2,2,2
Mizoram,,Bawngkawn,102,2,2,2
Mizoram,,"Dawrpui Y.M.A, Building, Dawrpui",102,2,2,2
Mizoram,,"Lengpui Airport, Model Veng, Lengpui",93,2,2,2
Mizoram,Champhai,"D.T.O Office Building, Kahrawt veng",101,2,2,2
Mizoram,,"Lalzidinga building,  Vengthlang",101,2,2,2
Mizoram,Kolasib,"H. Lalthuama Building, Project Veng",101,2,2,2
Mizoram,,"Synod Bookroom, Building Diakkawn",101,2,2,2
Mizoram,Lunglei,"Thangkhuma Building, Salem Veng",96,2,2,2
Mizoram,,"K.Lalliantluanga, Chanmari I, Lunglei",96,2,2,2
Nagaland,Dimapur,Bank Colony,139,2,2,2
Nagaland,,Dhobinala,121,2,2,2
Nagaland,,"Signal point, Dimapur, Nagaland SPCB",103,2,2,2
Nagaland,,"House no-288, Tenyiphe-I, Chumukiedima, Dimapur",103,2,2,2
Nagaland,,"Vidya Bhawan School, Lane 17, Nagarjan, Kuda Village, Dimapur",48,2,2,2
Nagaland,,"House no 24, Near community Hall, Viola colony, Dimapur",48,2,2,2
Nagaland,,"ERJO Motors, Burma Camp, Dimapur",48,2,2,2
Nagaland,Kohima,Opposite NST Office,138,2,2,2
Nagaland,,Opposite War Cemetery,121,2,2,2
Odisha,Angul,Industrial Estate,102,6,19,11
Odisha,,NALCO Township,102,8,15,10
Odisha,Balasore,Sahadevkhunta,104,2,2,2
Odisha,,DIC office,104,2,2,2
Odisha,,Rasalpur near Balgopalpur I/A,105,6,9,7
Odisha,Berhampur,Regional Office Orissa SPCB,107,2,11,4
Odisha,Bhubneshwar,Capital Police Station,97,2,7,2
Odisha,,IRC Village,95,2,5,2
Odisha,,Office Premises Bhubaneswar,100,2,4,2
Odisha,,"Water works, Palasuni, Rasalgarh",69,2,7,2
Odisha,,"Patrapara, Khandagiri",101,2,5,2
Odisha,,Chandrashekharpur,91,2,6,2
Odisha,Bonaigarh,"Govt. Hospital Bonai At/Po/PS-Bonai Dist-
Sudargarh",104,5,17,9
Odisha,Cuttack,"Traffic Tower, Badambadi",57,3,8,5
Odisha,,P.H.D Office Barabati,104,2,35,6
Odisha,,"R.O. Cuttack Office, Surya Vihar",104,3,10,6
Odisha,Jharsuguda,R.O. Building Cox colony,108,6,29,7
Odisha,,"TRL Colony, M/s. TRL Krosaki Refractories
Ltd. PO: Bhepahar,",106,5,23,8
Odisha,Kalinga Nagar,Over the Guest House of M/s NINL,55,2,2,2
Odisha,,"Maintenance Office of M/s NINL, Duburi",77,2,2,2
Odisha,Konark,Konark Police Station,101,2,3,2
Odisha,Paradeep,On roof of PPT Staff Quarter,101,10,30,18
Odisha,,On roof  of PPL Gueest,101,9,26,18
Odisha,,On roof of STP building IFFCO,83,14,27,19
Odisha,Puri,Sadar police station,46,2,2,2
Odisha,,Town Police Station,75,2,6,2
Odisha,Rajgangpur,"DISIR, Rajgangpur",103,6,23,12
Odisha,Rayagada,Regional Office Orissa SPCB,104,2,12,4
Odisha,,"LPS High School, Jaykaypur",101,2,9,4
Odisha,Rourkela,"Regional Office, ORPB",104,5,16,8
Odisha,,Kalunga Industrial Estate,104,6,16,12
Odisha,,"IDL Police Out-post, Sonaparbat",104,5,10,6
Odisha,,"Kuarmunda, Sundergarh",104,4,14,8
Odisha,Sambalpur,"Filter Plant, PHD Office, Modipara",105,4,36,6
Odisha,Talcher,Coal Field Area,104,8,14,10
Odisha,,T.T.P.S.Colony,104,6,14,11
Puducherry,Karaikal,"B.Ed College (PKCE), Nehru Nagar",89,2,3,2
Puducherry,,"Govt. Tourist Home, Kovilpathu",91,2,3,2
Puducherry,,"M/s Puducherry Power Corporation Limited,
Polagam, T.R. Pattinam,",82,2,3,2
Puducherry,Puducherry,"DSTC Office Upstairs, PHB 3rd Floor,
AnnaNagar",92,3,6,5
Puducherry,,PIPDIC Ind. Estate Mettupalayam,87,4,6,5
Puducherry,,Chamber Of Commerce,85,2,6,4
Punjab,Aligarh (Jagraon),"Forest Office, Vill:Aligarh, Teh:Jagraon",103,4,12,6
Punjab,Amritsar,"R.O. Focal Point (earlier Nagina soap
factory)",62,11,14,13
Punjab,,"Vinod Chilling Center / Kochar Bhavan
(earlier A-1,Platers)",60,11,19,13
Punjab,"Aspal Khurd
(Tapa)","Vill:Aspal Khurd, Teh:Tapa",123,4,8,5
Punjab,"Bara Pind
(Goraya)","Vill:Bara Pind, Teh:Goraya",83,4,11,7
Punjab,Bhatinda,"Bathinda Milk Producers, Dabwali Road",81,2,8,5
Punjab,"Binjon
(Garshankar)","CHC, Vill:Binjon, Teh: Garshankar",80,4,24,7
Punjab,"Bishanpura
(Payal)","Longowalia Yarns (Unit-II), Vill-Bishanpura,
Teh: Payal",93,4,20,10
Punjab,"Changal
(Sangrur)","Mastuana Sahib, Vill:Changal, Teh:Sangrur",107,4,7,5
Punjab,"Chowkimann
(Jagraon)","Ludhiana College of Engineering,
Vill:Chowkimann, Teh:Jagraon",102,4,12,7
Punjab,Dera Baba Nanak,C-PYTE Building,68,3,9,7
Punjab,Dera Bassi,"Punjab Chem and Crop Protection,
Bhanakarpur Rd",107,4,8,6
Punjab,,"Winsome Yarns Ltd., Barwala Road",113,4,7,5
Punjab,"Fatehpur
(Samana)","Baba Banda Singh Bahadur College,
Vill:Fatehpur, Teh:Samana",38,4,7,5
Punjab,Gobindgarh,"Modi Oil and General Mills, Mandi",126,6,9,7
Punjab,,"Raj Steel Rolling Mills, Mandi",133,5,9,7
Punjab,,"United Rolling Mills, Mandi Gobindgarh",130,5,9,7
Punjab,"Guru Ki Dhab
(Kotkapura)","Vil:Guru Ki Dhab / Basti Himmatpura,
Teh:Kotkapura",22,2,8,5
Punjab,"Jaito Sarja
(Batala)","Royal Nursing College, Vill: Jaito Sarja, Teh:
Batala",37,4,7,6
Punjab,Jalandhar,Municipal Council Tubewell No. 27,81,8,24,12
Punjab,,Regional Office,73,9,23,11
Punjab,,"Punjab Maltex , Kapurthala Road",59,5,20,10
Punjab,,Focal Point,63,8,15,12
Punjab,Khanna,"Markfed Vanaspati, Khanna",112,5,25,10
Punjab,,"AS School, Khanna",117,5,64,13
Punjab,"Kharaori
(Sirhind)","Vill:Kharaori, Teh:Sirhind",126,4,8,6
Punjab,"Kotladoom
(Ajnala)","Satyam College, Ramtirath Road, Vill:
Kotladoom, Teh: Ajnala",62,5,8,7
Punjab,"Lakho ke Behram
(Ferozpur)","Vill:Lakho ke Behram, Teh:Ferozpur",11,3,6,
Punjab,Ludhiana,Bharat Nagar Chowk / RO Gill Road,120,6,20,11
Punjab,,"Nahar Spining Mlls, Dholewal Chawk",124,6,49,14
Punjab,,"Ludhiana Coop. Milk Producer, Ferozpur Rd",136,5,40,10
Punjab,,"PPCB Office Building, Vishavkarma Chowk",131,6,64,13
Punjab,"Mrar Kalan
(Muktsar)","Vill: Mrar Kalan, Teh:Muktsar",40,4,9,5
Punjab,"Mukandpur
(Nawashahar)","Govt. Senior Sec. School, Vill:Mukandpur,
Teh:Nawashahar",78,5,12,8
Punjab,"Mureedke
(Batala)","Johal Farm, Vill: Mureedke, Teh: Batala",98,4,10,7
Punjab,"Naudhrani
(Malerkotla)","Vill:Naudhrani, Teh:Malerkotla",106,4,8,5
Punjab,Naya Nangal,Punjab Alkalis & Chemicals Ltd,92,5,8,6
Punjab,,"M/s NFL Guest House,Naya Nangal",104,4,7,5
Punjab,Patiala,"Ceylon Industries, Factory Area, Patiala",130,4,7,5
Punjab,,"Fire Brigade Station, Bahera Road, Patiala",134,4,8,5
Punjab,"Peer Mohammad
(Jalalabad)","Vill:Peer Mohammad, Teh:Jalalabad",26,4,6,5
Punjab,Poohli (Bhatinda),"Vill: Poohli, Teh:Bhatinda",21,4,7,5
Punjab,"Qila Bharian
(Sangrur)","Gurdwara Gangsar Sahib, Vill:Qila Bharian,
Teh:Sangrur",112,4,8,5
Punjab,Rakhra (Patiala),"Shree Ganesh Group of Institute,
Vill:Rakhra, The:Patiala",53,5,7,5
Punjab,Rohila (Samrala),"Gopimal Kaur Sain Industries Pvt. Ltd,
Vil:Rohila, Teh:Samrala",120,5,19,10
Punjab,Tirathpur (Amritsar I),"United ITI, Vill: Tirathpur, Teh:Amritsar I (earlier Sriguru Harkishan Public
School,Rasulpur Kalan)",58,5,8,7
Rajasthan,Alwar,Rajasthan State Pollution Control Board,98,6,13,9
Rajasthan,,Gaurav Solvex Ltd. MIA,103,8,18,13
Rajasthan,,"RIICO Pump House,  MIA",105,8,17,12
Rajasthan,Bharatpur,Khadi Gramoday Samiti,98,7,12,8
Rajasthan,,RIICO office Building,100,6,10,7
Rajasthan,,"RO, Building",102,7,8,7
Rajasthan,Bhiwadi,R.O.Building,101,8,63,28
Rajasthan,,UIT Guest House,38,7,33,24
Rajasthan,,Uttam Strips Ltd,97,6,40,25
Rajasthan,Chittorgarh,"Regional Office building, RSPCB, Near FCI
Godown, Chnaderiya",102,5,20,8
Rajasthan,,"Veterinary Hospital, Meeranagar",97,5,16,7
Rajasthan,,"PHED Pump House, Segawa",97,4,14,6
Rajasthan,Jaipur,Ajmeri Gate,107,5,15,7
Rajasthan,,"RJPB Office,Jhalana Doongari",104,4,12,6
Rajasthan,,"District Education Officer, Chandpole",101,6,23,7
Rajasthan,,"RIICO Office, M.I.A.",104,5,14,6
Rajasthan,,"RSPCB, Vidyadhar Nagar",104,5,27,7
Rajasthan,,VKIA,104,5,31,10
Rajasthan,,"22,Godam, RIICO Office",107,5,10,6
Rajasthan,,Mansarovar Nagar Niigam,99,5,10,6
Rajasthan,,RIICO Office Sitapura Industrial Area,103,4,16,7
Rajasthan,Jodhpur,"DIC Office, Industrial Estate",86,3,23,7
Rajasthan,,Sojati Gate,80,4,12,7
Rajasthan,,"Basni Industrial Area, RIICO Office",87,3,13,7
Rajasthan,,Maha Mandir Police Thane,84,4,10,7
Rajasthan,,"Office of Housing Board, Chopasani Road",82,3,11,7
Rajasthan,,Shastri Nagar Police Thana,87,3,12,7
Rajasthan,,Kudi Mahila Thana,50,5,8,6
Rajasthan,,Sangariya Police Choki,47,5,9,6
Rajasthan,,SoorsagarThana,47,5,9,6
Rajasthan,Kota,"Regional Office, RJPB, Anantpura",99,5,11,7
Rajasthan,,Municipal Corporation Building,104,5,11,7
Rajasthan,,Samcore Glass Ltd.,109,5,13,7
Rajasthan,,FireStation Nagar Nigam Shrinathpuram,104,5,11,7
Rajasthan,,"RajasthanTechnical University,Rawatbhata",103,5,12,7
Rajasthan,,"Sewage Treatment Plant, Balita, Kota",107,5,9,6
Rajasthan,Udaipur,Ambamata,103,3,13,6
Rajasthan,,Town Hall,105,4,23,13
Rajasthan,,"Regional Office,MIA",104,5,26,14
Sikkim,Chungthang,Chungthang,90,3,10,5
Sikkim,Gangtok,"White Hall Complex, Tasi view point",77,4,10,6
Sikkim,Mangan,Mangan Police Station,101,3,7,5
Sikkim,Namchi,Namchi,99,4,7,6
Sikkim,Pelling,The Pelling Girls Hostel,94,2,11,5
Sikkim,Rangpo,Rangpo Fire Station,94,3,16,8
Sikkim,Ravangla,Ravangla Range Office,99,2,28,5
Sikkim,Singtam,Police Station Building,93,4,8,6
Tamilnadu,Chennai,"Govt. High School, Manali",58,12,18,15
Tamilnadu,,Kathivakkam,63,11,17,14
Tamilnadu,,Thiruvottiyur,62,11,16,14
Tamilnadu,,Madras Medical College,86,2,22,3
Tamilnadu,,"NEERI, CSIR CampusTaramani",86,2,6,2
Tamilnadu,,Thiruvottiyur Municipal Office,87,2,50,5
Tamilnadu,,Adiyar,57,5,13,8
Tamilnadu,,Kilpauk,66,8,13,10
Tamilnadu,,Thiyagaraya Nagar,68,8,16,11
Tamilnadu,,Nunbakgum,63,8,14,11
Tamilnadu,,Anna Nagar,53,8,14,10
Tamilnadu,Coimbatore,"Poniarajapuram, On the top of DEL",86,4,72,6
Tamilnadu,,G.D.Matric Hr.Sec.School,69,4,9,6
Tamilnadu,,"SIDCO Office, Coimbatore/ Kurichi",77,5,9,7
Tamilnadu,Cuddalore,Eachangadu Village,94,11,15,13
Tamilnadu,,SIPCOT (Project Office),82,9,13,11
Tamilnadu,,"DEE Office, Cuddalore",75,12,18,15
Tamilnadu,Madurai,Highway (Project -I) Building,70,9,14,12
Tamilnadu,,Fenner (I) Ltd.  Kochadai,67,10,16,13
Tamilnadu,,Kunnathur Chatram Avvai Girls HS School,75,10,16,13
Tamilnadu,Mettur,Raman Nagar,79,5,10,6
Tamilnadu,,SIDCO,77,5,9,6
Tamilnadu,Salem,Sowdeswari College Building,77,4,26,7
Tamilnadu,Trichy,Gandhi Market,68,8,16,13
Tamilnadu,,Main Guard Gate,67,10,19,15
Tamilnadu,,Bishop Heber College,75,9,15,11
Tamilnadu,,Golden Rock,72,8,14,12
Tamilnadu,,Central Bus Stand,69,10,19,15
Tamilnadu,Tuticorin,"Fisheries College, Tuticorin Sipcot",72,6,16,10
Tamilnadu,,Raja Agencies,66,9,15,12
Tamilnadu,,AVM Jewellery Building,83,7,16,10
Telangana,Adilabad,"Building of SCCL Manadamarri Club
Mandamarri, Mancherial",108,4,7,5
Telangana,Hyderabad,Balanagar,106,4,11,6
Telangana,,"Tarnaka, NEERI Lab. IICT Campus",88,2,9,5
Telangana,,"Nacharam, Industrial Estate",88,2,9,5
Telangana,,ABIDS Circle General Post Office,88,2,9,5
Telangana,,"Uppal, Modern Foods & Industries IDA",112,4,10,6
Telangana,,Jublee Hills,119,4,11,5
Telangana,,Paradise,119,4,13,6
Telangana,,Charminar,119,3,10,5
Telangana,,Zoo Park,85,2,9,4
Telangana,,"Jeedimetla Industrial Estate, Rangareddy
Distt.",119,3,11,6
Telangana,Karimnagar,"On the terrace of the DIC building,
Karimnagar",87,6,14,9
Telangana,Khammam,CER Club Khamam,100,7,14,9
Telangana,,Jalasoudha building,102,6,11,9
Telangana,Kothur,Mehaboobnagar,104,7,13,9
Telangana,Nalgonda,AP PCB Nalgonda,99,3,7,5
Telangana,,"M/s. Srini Pharmaceuticals pvt.
Ltd.Choutuppal (V & M)",99,4,7,6
Telangana,Nizamabad,"subashnagar,nizamabad dist",99,4,6,5
Telangana,Patencheru,"Police Station, Medak, Ramachadrapuram",93,4,7,5
Telangana,Ramagundam,"Godavarikhani, Ramagundam, Karimnagar",98,7,13,9
Telangana,Sangareddy,Pashamylaram/Municipal Office,118,2,52,8
Telangana,,Regional office Building of SANGAREDDY,98,3,6,5
Telangana,,"M/s. Mylan Industries, Gaddapothara",99,5,7,6
Telangana,Warangal,"KUDA Office, Hanumakonda",99,6,11,9
Telangana,,"Mee-Seva Building  ,Municipal Complex",98,6,11,9
Tripura,Agartala,"SPCB, Pavivesh Bhawan, Pandit Nehru
Complex, Gorkhabasti, Kunjaban",83,2,6,4
Tripura,,"Bordowali Bipani Bitan, Agartala MC,
Bordowali, Near Nagerjala",83,2,6,4
Uttar Pradesh,Agra,"Regional Office, Bodla",90,3,6,4
Uttar Pradesh,,Nunhai,94,3,12,5
Uttar Pradesh,,Taj Mahal,242,2,34,4
Uttar Pradesh,,DIC Nunhai,125,2,21,4
Uttar Pradesh,,Etmad-uddaulah,130,2,35,4
Uttar Pradesh,,Rambagh,124,2,20,4
Uttar Pradesh,Allahabad,Square crossing circle of Laxmi Talkies,92,2,16,9
Uttar Pradesh,,Bharat Yantra Nigam Ltd,102,2,19,8
Uttar Pradesh,,Alopibagh/Sewage Pumping Stations,92,2,5,3
Uttar Pradesh,,Jhonstonganj/co-operative Bank,57,2,3,2
Uttar Pradesh,,Rambagh/Parag Dairy,82,2,5,3
Uttar Pradesh,Anpara,"Anpara Colony, Sonabhadra",95,10,22,17
Uttar Pradesh,,"Renusagar Colony, Sonabhadra",97,11,21,17
Uttar Pradesh,Baghpat,"Sarvodaya Hospital, Tatiri Merrut, Baghpat
Road",93,6,37,11
Uttar Pradesh,,"Weavetex Overseas Hostel, Khekra, Baghpat",96,7,37,11
Uttar Pradesh,Bareily,IVRI Izatnaga,107,10,45,22
Uttar Pradesh,,"Indian oetrol pump, Civil Line",107,13,62,31
Uttar Pradesh,Firozabad,Center for Development of Glass Industry,104,6,12,8
Uttar Pradesh,,Tilak Nagar,104,6,12,8
Uttar Pradesh,,Raza ka Tal,103,6,12,8
Uttar Pradesh,Gajraula,"Raunaq Auto Ltd, J.P. Nagar",94,8,43,22
Uttar Pradesh,,"Indira Chowk, J.P. Nagar",91,10,50,28
Uttar Pradesh,Ghaziabad,"Atlas Cycles Industries, Sahibabad Ind. area",93,5,30,15
Uttar Pradesh,,Bulandshaar Road Industrial Area,87,5,26,13
Uttar Pradesh,,"Khora Colony, Ghaziabad
Vinoba Bhave Park, Lohia Nagar, Ghaziabad
M. M.M. Engineering College, Gorakhpur",86,7,35,12
Uttar Pradesh,,,85,7,30,12
Uttar Pradesh,Gorakpur,,93,2,26,10
Uttar Pradesh,,"India Glycol Ltd. Gida, Gorakhpur",101,18,62,33
Uttar Pradesh,,"Jalkal, Muncipal Corporation, Golghar",92,9,55,24
Uttar Pradesh,Greater Noida,"Holland Tractor, Greater Noida",88,6,48,12
Uttar Pradesh,,"Honda Power, Greater Noida",88,6,48,12
Uttar Pradesh,Hapur,"Srinagar Colony, Railway Road, Hapur",89,5,28,13
Uttar Pradesh,,"Jindal Pipes Ltd, Hapur",70,5,28,16
Uttar Pradesh,Jhansi,Manik Chawk / Jal chauraha,117,4,20,7
Uttar Pradesh,,Veeranga Nagar,117,3,18,6
Uttar Pradesh,Kanpur,"Forest & Training Centre, Kidwai Nagar",93,6,20,8
Uttar Pradesh,,Chamber Of Commerce Darshanpurwa /,94,6,11,8
Uttar Pradesh,,Deputy ka Parao,,,,
Uttar Pradesh,,"Associated Chem Pvt Ltd, Fazalganj, Panki,
Site-5",83,7,11,8
Uttar Pradesh,,"Head Post Office, Govind Nagar / Dabauli /
Shastri NGR",83,6,10,8
Uttar Pradesh,,Jajmau / Awas Vikas,93,6,9,8
Uttar Pradesh,,"I.I.T. Campus, Kanpur",100,2,2,2
Uttar Pradesh,,IIT 12 parameter,48,2,2,2
Uttar Pradesh,,"Dada Nagar, Kanpur",91,3,17,6
Uttar Pradesh,,"Ramadevi, Kanpur",88,2,4,2
Uttar Pradesh,Khurja,Central Glass & Ceramic Research Institute,95,19,26,22
Uttar Pradesh,,Ahirpara,92,19,23,20
Uttar Pradesh,Lucknow,Mahanagar,225,4,19,8
Uttar Pradesh,,"Chandganj Garden, Aliganj",270,4,19,8
Uttar Pradesh,,"Kapoor Hotel, Hazratganj",187,4,19,8
Uttar Pradesh,,Talkatora,268,4,19,8
Uttar Pradesh,,Aminabad / S.M.K Chowk,279,4,19,8
Uttar Pradesh,,Nagar Nigam,268,4,19,8
Uttar Pradesh,,"Ansal Technical Institute Campus, Ansal API",266,4,19,8
Uttar Pradesh,,Vikas Khand,56,2,2,2
Uttar Pradesh,Mathura,"RO. UPPCB, 65 Baldevpuri, Maholi Road",81,8,15,11
Uttar Pradesh,,"CETP, Industrial Area, Mathura",83,10,17,13
Uttar Pradesh,Meerut,Begum Bridge,59,9,12,10
Uttar Pradesh,,Thana Railway Road / Kesarganj,59,7,8,7
Uttar Pradesh,Moradabad,"Hindu College, Station Road",91,8,60,32
Uttar Pradesh,,"Central Police Hospital, Civil Lines",90,5,39,20
Uttar Pradesh,Muzaffarnagar,"Sahara Parivar Office, Kamal Cinema,
Building, Railway Station Road",97,6,13,8
Uttar Pradesh,,"Lekhpal Bhawan, Tehsil Sadar Campus",97,7,15,9
Uttar Pradesh,Noida,"UP PPCB, E-12/1, Sector - 1",97,5,31,14
Uttar Pradesh,,Gee-Pee Electroplating and Eng. Work,96,5,30,15
Uttar Pradesh,,"Subros, Noida",92,6,39,12
Uttar Pradesh,,"Golf Course, Noida",90,7,39,11
Uttar Pradesh,Raebareli,"Town Hall Colony, Ahmad Nagar, Gulab
Road",54,7,10,9
Uttar Pradesh,,"Khoya mandi Tiraha Lucknow Road
Raebareli",54,12,16,14
Uttar Pradesh,,Amawan Road Ind. Area Raebareli,54,7,11,10
Uttar Pradesh,Saharanpur,"SRE-A, IIT Roorkee, Saharanpur Campus",92,9,25,16
Uttar Pradesh,,"UPCL S.E. Office, Near Clock Tower",91,10,23,16
Uttar Pradesh,Unnao,"H. No. 5, Krishna Nagar",74,7,11,9
Uttar Pradesh,,"IIA Building, Industrial Area, Site 10",74,8,11,9
Uttar Pradesh,Varanasi,"Regional Office, Jawahar Nagar",98,4,14,9
Uttar Pradesh,,Sigra,191,3,14,9
Uttar Pradesh,,Saket Nagar,93,6,15,10
Uttar Pradesh,,Banaras Hindu University,91,6,12,9
Uttar Pradesh,,Chandpur,88,9,16,11
Uttarakhand,Dehradun,"Raipur Road, Near parag Diary",68,21,26,23
Uttarakhand,,"Clock Tower, PWD Guest House",70,23,27,25
Uttarakhand,,Himalaya Drug Co. Near ISBT,68,23,28,26
Uttarakhand,Haldwani,Govt. Women Hospital,103,5,32,8
Uttarakhand,Haridwar,"SIDCUL, Haridwar",66,16,23,20
Uttarakhand,Kashipur,"BSNL Office, Kashipur",97,13,24,14
Uttarakhand,Rishikesh,Nagar Palika Parishad,78,19,25,22
Uttarakhand,Rudrapur,SIDCUL Office,87,12,23,14
West Bengal,Alipurduar,Rabikanta High School,103,2,11,7
West Bengal,,Jaigaon Police Station,102,2,12,7
West Bengal,,Birpara Police Station,104,2,13,7
West Bengal,Amtala,"P Roy Industrial Training Institute, Amtala",104,2,12,7
West Bengal,Asansol,Asansol Municipal Corporation,104,8,18,15
West Bengal,,"Kangsabati Spinning Mill, Barjora",104,7,19,15
West Bengal,,"Burnpur Town Department, Burnpur",104,11,18,15
West Bengal,Baharampur,Baharampur Municipality,104,2,22,7
West Bengal,Balurghat,Balurghar College,104,2,12,6
West Bengal,Bankura,Bankura Municipility,104,2,14,2
West Bengal,Barasat,"Barasat Municipility, 73 Rishi Bankim",103,2,20,8
West Bengal,,Chandra Road,,,,
West Bengal,Bardhaman,"Bardhaman Town, Rajbati",104,2,14,2
West Bengal,Barrackpore,Barrackpore Municiaplity,104,2,19,8
West Bengal,,Dum Dum Telephone Exchange,103,3,16,8
West Bengal,,Khardah Municipality,103,4,21,8
West Bengal,Baruipur,"Bauipur Police Station, Baruipur",104,2,16,7
West Bengal,Bolpur,Bolpur Municipility,104,2,15,2
West Bengal,Chinsura,"Chinsura Municipility, Pipulpati Auto Stand",104,2,18,7
West Bengal,Coochbehar,ABM Seal College,104,2,14,7
West Bengal,,"Uttarbanga Krishi Visvavidyalaya, Pundibari",104,2,11,6
West Bengal,Dankuni,"Krishnanagar Municipility, Dankuni",104,2,18,7
West Bengal,Darjeeling,Bose Institute Campus,104,2,10,5
West Bengal,Durgapur,"DMC Water Works, Angadpur",104,9,17,15
West Bengal,,"Kwality Hotel, Bhiringi More, Benachiti",104,2,18,15
West Bengal,,"Bidhannagar, PCBL Club, Muchipara",103,7,22,11
West Bengal,,"Dew India Limited, PCBL More, Durgapur",104,2,18,15
West Bengal,Ghatal,"Annapurna Hotel, Ghatal-Panskura Bus
Stand",107,2,22,10
West Bengal,Haldia,"Debhog Milan Viyapith, Bhabanipur",107,4,19,9
West Bengal,,"Bhunia Raichak, Driver's Hut, Bhunia",105,3,22,10
West Bengal,,"Supermarket Building, Durgachak",106,2,20,9
West Bengal,,WBIIDC Ruchi Soya Ind. Durgachak,106,2,20,9
West Bengal,Howrah,Howrah Municipal Corporation,105,5,26,13
West Bengal,,"Naskarpara Pump House, Ghuseri",107,3,21,11
West Bengal,,"CDS & Health Centre, Bator",104,6,23,12
West Bengal,,"Howrah Municipality School, Bandhaghat",104,4,23,12
West Bengal,Jalpaiguri,Raninagar Jalpaigur,106,2,12,6
West Bengal,Jhargram,Jhargram,105,3,19,9
West Bengal,Kalimpong,Kalimpong Municipality,104,2,10,6
West Bengal,Kalyani,"College of Medicine & JNM Hospital, Kalyani
Industrial Area",104,2,20,7
West Bengal,Kharagpur,"AMD Building, TATA Bearing",106,5,24,13
West Bengal,Kolkata,"Salt Lake, Rooftop of CK Market",104,2,13,7
West Bengal,,"KMC office Building, Moulali",104,2,18,9
West Bengal,,"Minto Park, Inside Park AJC Bose Road",104,3,15,8
West Bengal,,"Dunlop Bridge, National Sample Survey",104,4,18,10
West Bengal,,"Behala Chowrasta, Traffic Guard Building",104,3,18,8
West Bengal,,"Upanagari Sporting Club, Baishnabghata",104,2,17,8
West Bengal,,"Cossipore Police Station, B.T. Road",79,2,35,10
West Bengal,,"Dalhousie Square, Lal Bazzar Police Headqtr.",79,2,36,9
West Bengal,,Kasba,78,2,37,5
West Bengal,,RD CPCB,111,2,22,4
West Bengal,,"Infectious Diseases & BG Hospital,
Beliaghata",104,2,18,8
West Bengal,,"CESC Building, Mandeville Gardens,
Gariahat",104,2,13,7
West Bengal,,"Administrative Building, Hyde Road",104,3,20,11
West Bengal,,"KMC Drainage, Pumping Station, 9
Mominpur Road, Mominpur",104,2,14,7
West Bengal,,Paribesh Bhawan,104,2,20,7
West Bengal,,"Milan Tirtha Club, Picnic Garden",104,2,22,9
West Bengal,,"Public Health Engineering Office Building,
Rajarhar",104,2,20,7
West Bengal,,"Tennis Club Biulding, 45-46 Canal West
Road, Fariapukur, Shyambazar",104,3,17,9
West Bengal,,"Elite India Rubber Products Pvt.Ltd., Topsia",104,3,17,9
West Bengal,,"Maniktala Fire Station Building, 17, Bagmari
Lane, Ultadanga",104,3,23,9
West Bengal,,Tollygunge,104,2,12,7
West Bengal,Krishnanagar,"Krishnanagar Municipility, TN Thakur Road",104,2,15,7
West Bengal,Madhyamgram,Madhyamgram Municipality,103,2,20,8
West Bengal,Malda,"WBPCB Office, Paribesh Bhaban, Vill.
Abhirampur",103,2,13,7
West Bengal,Medinipur,Vidyasagar University,107,4,18,9
West Bengal,Purulia,Purulia Municipility,104,2,13,2
West Bengal,Raigunj,Raigunj College,104,2,28,7
West Bengal,Rampurhat,Rampurhat Municipility,104,2,12,2
West Bengal,Ranaghat,"Ranaghat Municipility, 11 school lane",104,2,17,7
West Bengal,Raniganj,Raniganj Municipality,104,10,19,15
West Bengal,,"Mangalpur, SKS School Mangalpur",104,8,18,15
West Bengal,,Jamuria Municipality,104,7,20,15
West Bengal,Rishra,Rishra Municipility,104,2,21,8
West Bengal,Sankrail,Bharat Co-op Housing Society,104,2,23,9
West Bengal,,"Bagan Police Station, Bagan",104,3,23,10
West Bengal,,Dhulagar  Gram Pachayat,106,5,23,12
West Bengal,,"P Mukherjee's House, Near SBI Amta",104,4,34,11
West Bengal,Siliguri,Siliguri,105,2,13,6
West Bengal,Suri,Suri Municipility,104,2,15,2
West Bengal,Tamluk,"HP Gas Service Station, Maniktala",106,3,23,10
West Bengal,Tribeni,Tribeni Health Center,104,2,16,7
West Bengal,Uluberia,"ESI hospital nursing building, 3rd floor, Near
Sahib Mandir",104,3,23,10
